,Exponent,Truth Label,Predicted Label,Confidence
489,0.475,5,1,
490,0.475,5,2,
491,0.475,5,3,
492,0.475,5,4,
493,0.475,5,5,
494,0.475,5,6,
495,0.475,5,7,
496,0.475,6,0,
497,0.475,6,1,
498,0.475,6,2,
499,0.475,6,3,
500,0.475,6,4,
501,0.475,6,5,
502,0.475,6,6,
503,0.475,6,7,
504,0.475,7,0,
505,0.475,7,1,
506,0.475,7,2,
507,0.475,7,3,
508,0.475,7,4,
509,0.475,7,5,
510,0.475,7,6,
511,0.475,7,7,
512,0.525,0,0,0.8256735340729001
513,0.525,0,1,0.06656101426307448
514,0.525,0,2,0.012678288431061807
515,0.525,0,3,0.03169572107765452
516,0.525,0,4,0.009508716323296355
517,0.525,0,5,0.0
518,0.525,0,6,0.006339144215530904
519,0.525,0,7,0.04754358161648178
520,0.525,1,0,0.04595879556259905
521,0.525,1,1,0.9477020602218701
522,0.525,1,2,0.001584786053882726
523,0.525,1,3,0.003169572107765452
524,0.525,1,4,0.0
525,0.525,1,5,0.0
526,0.525,1,6,0.001584786053882726
527,0.525,1,7,0.0
528,0.525,2,0,0.006339144215530904
529,0.525,2,1,0.004754358161648178
530,0.525,2,2,0.9572107765451664
531,0.525,2,3,0.014263074484944533
532,0.525,2,4,0.0
533,0.525,2,5,0.0
534,0.525,2,6,0.006339144215530904
535,0.525,2,7,0.011093502377179081
536,0.525,3,0,0.006339144215530904
537,0.525,3,1,0.001584786053882726
538,0.525,3,2,0.012678288431061807
539,0.525,3,3,0.9635499207606973
540,0.525,3,4,0.0
541,0.525,3,5,0.001584786053882726
542,0.525,3,6,0.003169572107765452
543,0.525,3,7,0.011093502377179081
544,0.525,4,0,
545,0.525,4,1,
546,0.525,4,2,
547,0.525,4,3,
548,0.525,4,4,
549,0.525,4,5,
550,0.525,4,6,
551,0.525,4,7,
552,0.525,5,0,
553,0.525,5,1,
554,0.525,5,2,
555,0.525,5,3,
556,0.525,5,4,
557,0.525,5,5,
558,0.525,5,6,
559,0.525,5,7,
560,0.525,6,0,
561,0.525,6,1,
562,0.525,6,2,
563,0.525,6,3,
564,0.525,6,4,
565,0.525,6,5,
566,0.525,6,6,
567,0.525,6,7,
568,0.525,7,0,
569,0.525,7,1,
570,0.525,7,2,
571,0.525,7,3,
572,0.525,7,4,
573,0.525,7,5,
574,0.525,7,6,
575,0.525,7,7,
576,0.575,0,0,0.8313856427378965
577,0.575,0,1,0.07345575959933222
578,0.575,0,2,0.01335559265442404
579,0.575,0,3,0.02337228714524207
580,0.575,0,4,0.001669449081803005
581,0.575,0,5,0.001669449081803005
582,0.575,0,6,0.02003338898163606
583,0.575,0,7,0.035058430717863104
584,0.575,1,0,0.05008347245409015
585,0.575,1,1,0.9382303839732888
586,0.575,1,2,0.00333889816360601
587,0.575,1,3,0.00333889816360601
588,0.575,1,4,0.0
589,0.575,1,5,0.0
590,0.575,1,6,0.00333889816360601
591,0.575,1,7,0.001669449081803005
592,0.575,2,0,0.0
593,0.575,2,1,0.00667779632721202
594,0.575,2,2,0.9549248747913188
595,0.575,2,3,0.015025041736227046
596,0.575,2,4,0.0
597,0.575,2,5,0.0
598,0.575,2,6,0.011686143572621035
599,0.575,2,7,0.011686143572621035
600,0.575,3,0,0.011686143572621035
601,0.575,3,1,0.001669449081803005
